,客户编号,平均缴费金额,缴费次数
0,1000000001.0,7.25,8.0
1,1000000002.0,7.142857142857143,7.0
2,1000000003.0,6.857142857142857,7.0
3,1000000004.0,6.625,8.0
4,1000000005.0,6.571428571428571,7.0
5,1000000006.0,6.571428571428571,7.0
6,1000000007.0,6.571428571428571,7.0
7,1000000008.0,6.857142857142857,7.0
8,1000000009.0,7.0,7.0
9,1000000010.0,6.5,8.0
10,1000000011.0,6.571428571428571,7.0
11,1000000012.0,6.285714285714286,7.0
12,1000000013.0,5.571428571428571,7.0
13,1000000014.0,6.5200000000000005,7.0
14,1000000015.0,,7.0
15,1000000016.0,,8.0
16,1000000017.0,,7.0
17,1000000018.0,,7.0
18,1000000019.0,,6.0
19,1000000020.0,,7.0
20,1000000021.0,,7.0
21,1000000022.0,,6.0
22,1000000023.0,,5.0
23,1000000024.0,,7.0
24,1000000025.0,,7.0
25,1000000026.0,,7.0
26,1000000027.0,,7.0
27,1000000028.0,,6.0
28,1000000029.0,,7.0
29,1000000030.0,,7.0
30,1000000031.0,,7.0
31,1000000032.0,,6.0
32,1000000033.0,,6.0
33,1000000034.0,,7.0
34,1000000035.0,,7.0
35,1000000036.0,,6.0
36,1000000037.0,,7.0
37,1000000038.0,,6.0
38,1000000039.0,,7.0
39,1000000040.0,,7.0
40,1000000041.0,,6.0
41,1000000042.0,,7.0
42,1000000043.0,,7.0
43,1000000044.0,,6.0
44,1000000045.0,,7.0
45,1000000046.0,,6.0
46,1000000047.0,,7.0
47,1000000048.0,,6.0
48,1000000049.0,,7.0
49,1000000050.0,,7.0
50,1000000051.0,,6.0
51,1000000052.0,,7.0
52,1000000053.0,,7.0
53,1000000054.0,,6.0
54,1000000055.0,,7.0
55,1000000056.0,,7.0
56,1000000057.0,,7.0
57,1000000058.0,,7.0
58,1000000059.0,,8.0
59,1000000060.0,,7.0
60,1000000061.0,,7.0
61,1000000062.0,,7.0
62,1000000063.0,,7.0
63,1000000064.0,,6.0
64,1000000065.0,,7.0
65,1000000066.0,,6.0
66,1000000067.0,,7.0
67,1000000068.0,,7.0
68,1000000069.0,,6.0
69,1000000070.0,,8.0
70,1000000071.0,,7.0
71,1000000072.0,,7.0
72,1000000073.0,,4.0
73,1000000074.0,,7.0
74,1000000075.0,,7.0
75,1000000076.0,,7.0
76,1000000077.0,,7.0
77,1000000078.0,,5.0
78,1000000079.0,,6.0
79,1000000080.0,,7.0
80,1000000081.0,,7.0
81,1000000082.0,,5.0
82,1000000083.0,,7.0
83,1000000084.0,,7.0
84,1000000085.0,,7.0
85,1000000086.0,,4.0
86,1000000087.0,,7.0
87,1000000088.0,,7.0
88,1000000089.0,,5.0
89,1000000090.0,,6.0
90,1000000091.0,,7.0
91,1000000092.0,,3.0
92,1000000093.0,,5.0
93,1000000094.0,,6.0
94,1000000095.0,,7.0
95,1000000096.0,,7.0
96,1000000097.0,,6.0
97,1000000098.0,,6.0
98,1000000099.0,,6.0
99,1000000100.0,,7.0
